DATAFLOW,LAST UPDATE,freq,indic_il,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:ILC_DI12(1.0),13/05/22 23:00:00,A,GINI_HND,EU27_2020,2016,30.6,e
ESTAT:ILC_DI12(1.0),13/05/22 23:00:00,A,GINI_HND,EU27_2020,2017,30.3,e
ESTAT:ILC_DI12(1.0),13/05/22 23:00:00,A,GINI_HND,EU27_2020,2018,30.4,e
ESTAT:ILC_DI12(1.0),13/05/22 23:00:00,A,GINI_HND,EU27_2020,2019,30.2,e
ESTAT:ILC_DI12(1.0),13/05/22 23:00:00,A,GINI_HND,EU27_2020,2020,30.0,b
ESTAT:ILC_DI12(1.0),13/05/22 23:00:00,A,GINI_HND,EU28,2011,30.8,
ESTAT:ILC_DI12(1.0),13/05/22 23:00:00,A,GINI_HND,EU28,2012,30.5,
ESTAT:ILC_DI12(1.0),13/05/22 23:00:00,A,GINI_HND,EU28,2013,30.5,
ESTAT:ILC_DI12(1.0),13/05/22 23:00:00,A,GINI_HND,EU28,2014,31.0,
ESTAT:ILC_DI12(1.0),13/05/22 23:00:00,A,GINI_HND,EU28,2015,31.0,
ESTAT:ILC_DI12(1.0),13/05/22 23:00:00,A,GINI_HND,EU28,2016,30.8,
ESTAT:ILC_DI12(1.0),13/05/22 23:00:00,A,GINI_HND,EU28,2017,30.6,
ESTAT:ILC_DI12(1.0),13/05/22 23:00:00,A,GINI_HND,EU28,2018,30.8,
ESTAT:ILC_DI12(1.0),13/05/22 23:00:00,A,GINI_HND,EU28,2019,30.6,e
ESTAT:ILC_DI12(1.0),13/05/22 23:00:00,A,GINI_HND,FI,2011,25.8,
ESTAT:ILC_DI12(1.0),13/05/22 23:00:00,A,GINI_HND,FI,2012,25.9,
ESTAT:ILC_DI12(1.0),13/05/22 23:00:00,A,GINI_HND,FI,2013,25.4,
ESTAT:ILC_DI12(1.0),13/05/22 23:00:00,A,GINI_HND,FI,2014,25.6,
